,number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_bootstrap_type,params_colsample_bylevel,params_depth,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_od_type,params_od_wait,params_random_strength,params_subsample,state
28,28,0.28704888888888885,2025-06-26 12:53:15.072267,2025-06-26 12:53:44.422154,0 days 00:00:29.349887,1.1061741463284216e-05,Bernoulli,0.6020842875995371,3,4.597703099114672,0.024010361581122287,55,Iter,26,0.10943544445129885,0.9775802723533247,COMPLETE
29,29,0.2849022222222222,2025-06-26 12:53:44.423002,2025-06-26 12:53:48.914405,0 days 00:00:04.491403,5.048821356468425e-08,MVS,0.200541225041573,4,4.508605778608642,0.22298226449813546,16,Iter,17,0.029607840461424128,0.8244503549896238,COMPLETE
30,30,0.28542666666666666,2025-06-26 12:53:48.915233,2025-06-26 12:53:55.621939,0 days 00:00:06.706706,0.06646163912356177,Bernoulli,0.502804941986039,4,4.661884052530517,0.15337280163120307,27,Iter,16,0.042424822846300614,0.48860038677011525,COMPLETE
31,31,0.28813777777777777,2025-06-26 12:53:55.622709,2025-06-26 12:54:18.790370,0 days 00:00:23.167661,8.324684517015494e-06,MVS,0.7797636367809798,3,4.659000972236973,0.0442650079933302,25,Iter,29,0.1912398527227757,0.4351562620249605,COMPLETE
32,32,0.28635555555555553,2025-06-26 12:54:18.791313,2025-06-26 12:54:45.264643,0 days 00:00:26.473330,0.0010326576171847041,MVS,0.7013686958987722,3,3.08777579302636,0.01835238476507757,58,IncToDec,39,0.2152897253734035,0.23165730643802612,COMPLETE
33,33,0.28798666666666667,2025-06-26 12:54:45.265490,2025-06-26 12:54:59.814641,0 days 00:00:14.549151,2.498112843730587e-06,Bernoulli,0.7805267600340086,3,4.195226734394629,0.13829352048769503,16,IncToDec,36,0.0799035020927515,0.19396543817370077,COMPLETE
34,34,0.28709777777777773,2025-06-26 12:54:59.815573,2025-06-26 12:55:22.914514,0 days 00:00:23.098941,1.1346978128566626e-09,MVS,0.7182326106200158,4,3.790698415038191,0.03835951158447809,7,Iter,33,0.3876154514298362,0.1351699420608271,COMPLETE
35,35,0.2875466666666667,2025-06-26 12:55:22.915335,2025-06-26 12:55:48.501286,0 days 00:00:25.585951,2.8201535462108845e-06,MVS,0.7348618602321216,3,4.788365751095074,0.06126990374489667,60,Iter,32,0.4607523266449449,0.461105237380952,COMPLETE
36,36,0.28677777777777774,2025-06-26 12:55:48.502195,2025-06-26 12:56:15.947946,0 days 00:00:27.445751,8.665026111642562e-07,Bernoulli,0.768694596739817,3,2.3246398842802707,0.011607606122504041,24,Iter,23,0.06842653044010415,0.3607006984279498,COMPLETE
37,37,0.2873866666666666,2025-06-26 12:56:15.948807,2025-06-26 12:56:35.422824,0 days 00:00:19.474017,1.2159970318780626,MVS,0.7058908816048274,3,3.9020006320959597,0.07773466987977763,22,Iter,34,0.1670385657709448,0.695751450826462,COMPLETE
38,38,0.28732444444444444,2025-06-26 12:56:35.423664,2025-06-26 12:57:06.122944,0 days 00:00:30.699280,0.0001682732080772316,Bayesian,0.7848403200634759,3,3.705695298926441,0.0112484587427756,47,Iter,30,0.13408123131878436,0.44269552144334207,COMPLETE
39,39,0.2843111111111111,2025-06-26 12:57:06.123858,2025-06-26 12:57:17.707936,0 days 00:00:11.584078,3.0581830229871055e-05,MVS,0.06523755161373812,5,1.460823845791871,0.03978940986486047,35,Iter,16,0.014003436397271862,0.2970345417732435,COMPLETE
40,40,0.2898266666666667,2025-06-26 12:57:17.708722,2025-06-26 12:57:48.916451,0 days 00:00:31.207729,0.0003127055459513509,MVS,0.5721606839482257,5,4.638286856250468,0.06636310670484787,22,Iter,30,0.5051697560735477,0.5810398337042082,COMPLETE
41,41,0.28864888888888884,2025-06-26 12:57:48.917267,2025-06-26 12:58:03.603788,0 days 00:00:14.686521,5.104123071509267e-05,MVS,0.7980204959811742,6,4.56160756298383,0.170969617720109,6,Iter,29,0.5363156614043115,0.6065023439392836,COMPLETE
42,42,0.28755555555555556,2025-06-26 12:58:03.604611,2025-06-26 12:58:20.688468,0 days 00:00:17.083857,3.636320108044865e-06,Bernoulli,0.5486519580981288,6,4.045008889795057,0.15565271258579974,5,Iter,24,0.7258598226687517,0.5934825995482753,COMPLETE
43,43,0.28756,2025-06-26 12:58:20.689369,2025-06-26 12:58:57.319196,0 days 00:00:36.629827,0.0038636340136447215,Bayesian,0.6551818675923,7,4.8889174665287465,0.08154095962895037,16,Iter,35,0.5573567015864892,0.6210882828979563,COMPLETE
44,44,0.28641777777777777,2025-06-26 12:58:57.320112,2025-06-26 12:59:18.109972,0 days 00:00:20.789860,0.17028969643084088,MVS,0.7382561776004705,7,4.37352657731019,0.09006427995478943,5,Iter,20,0.4128442025702397,0.7067458819264937,COMPLETE
45,45,0.28739999999999993,2025-06-26 12:59:18.110784,2025-06-26 12:59:33.933219,0 days 00:00:15.822435,5.434062138104904e-06,MVS,0.6839681535979214,7,4.459394412412097,0.20413563712459443,8,Iter,34,0.43534449250456897,0.7411996996064365,COMPLETE
46,46,0.2857955555555555,2025-06-26 12:59:33.934323,2025-06-26 13:00:02.799464,0 days 00:00:28.865141,0.3447827954954226,MVS,0.6021601361148461,5,4.539773459242379,0.011924054086186815,32,Iter,33,0.43025473381280155,0.47682138918444833,COMPLETE
47,47,0.2845333333333333,2025-06-26 13:00:02.800260,2025-06-26 13:00:07.406410,0 days 00:00:04.606150,0.0001563446815296347,Bernoulli,0.4323880891931795,6,1.7306444502356786,0.1925385678969829,38,Iter,12,0.023174551228959027,0.2948986247454493,COMPLETE
48,48,0.2874933333333333,2025-06-26 13:00:07.407361,2025-06-26 13:00:32.685744,0 days 00:00:25.278383,0.00020458914747448852,MVS,0.6246153175078629,5,4.54052657349414,0.05923890441558655,13,Iter,28,0.7274408536402807,0.5652687557134604,COMPLETE
49,49,0.28627111111111114,2025-06-26 13:00:32.686601,2025-06-26 13:01:00.211910,0 days 00:00:27.525309,1.083071242891852e-06,MVS,0.47242887557077473,5,4.911038567948509,0.03450378157401949,12,Iter,23,0.35470720452786364,0.7190152297674418,COMPLETE
50,50,0.2882577777777778,2025-06-26 13:01:00.212751,2025-06-26 13:01:36.467586,0 days 00:00:36.254835,0.22112189876738653,MVS,0.43628873288141967,6,2.475853948605839,0.017364851742794608,78,IncToDec,13,0.023431837116900493,0.5001993869292545,COMPLETE
51,51,0.2871244444444444,2025-06-26 13:01:36.468585,2025-06-26 13:02:01.634142,0 days 00:00:25.165557,0.011836413324581943,MVS,0.49158790004732866,5,2.2390386194482623,0.025215802642645637,77,IncToDec,14,0.1764556729774887,0.4255567060158094,COMPLETE
52,52,0.2884977777777778,2025-06-26 13:02:01.635015,2025-06-26 13:02:20.711305,0 days 00:00:19.076290,0.2159389537628958,Bernoulli,0.2021575193831502,7,2.192713514198046,0.03629395917325977,50,IncToDec,15,0.14997824642675722,0.2197829610132046,COMPLETE
53,53,0.28602666666666665,2025-06-26 13:02:20.712112,2025-06-26 13:02:35.522683,0 days 00:00:14.810571,8.153402854171228,Bernoulli,0.3066814580094267,7,2.5905350149375796,0.05076547847189423,61,IncToDec,14,0.2636091765500534,0.16387194313650957,COMPLETE
54,54,0.28719999999999996,2025-06-26 13:02:35.523537,2025-06-26 13:02:51.106081,0 days 00:00:15.582544,0.0003577263113934399,MVS,0.3154891409728307,8,1.693941346935354,0.05107793301940725,32,Iter,17,0.071071683687257,0.10755449133288848,COMPLETE
55,55,0.28655111111111103,2025-06-26 13:02:51.107015,2025-06-26 13:03:08.076787,0 days 00:00:16.969772,0.1628725344224456,Bernoulli,0.14875097318522584,6,1.0209844547415607,0.023479334882371673,29,IncToDec,13,0.23708398139506665,0.059093898736049366,COMPLETE
56,56,0.28532444444444444,2025-06-26 13:03:08.077683,2025-06-26 13:03:35.344764,0 days 00:00:27.267081,8.184809804283687e-06,MVS,0.2825500851298717,6,1.5142592596950089,0.004284348242294973,82,Iter,21,0.31747466959116877,0.13881220869882185,COMPLETE
57,57,0.28747999999999996,2025-06-26 13:03:35.345552,2025-06-26 13:03:59.115979,0 days 00:00:23.770427,0.0011197036944173618,MVS,0.4357513188434776,3,3.644646139881467,0.06610045166656638,39,Iter,43,0.4078680531760023,0.6130369412285009,COMPLETE
58,58,0.2890488888888889,2025-06-26 13:03:59.116808,2025-06-26 13:04:15.072135,0 days 00:00:15.955327,0.0893685652724,MVS,0.24494998710408866,7,2.2850633871479706,0.053990644920378625,78,Iter,19,0.047003966211052406,0.10191708012543314,COMPLETE
59,59,0.2885422222222222,2025-06-26 13:04:15.073113,2025-06-26 13:04:33.024389,0 days 00:00:17.951276,9.652607367560078,MVS,0.1118218885688515,9,2.9693379121467878,0.049036077464480715,66,Iter,25,0.256655438822523,0.23738870333068057,COMPLETE
60,60,0.28794222222222227,2025-06-26 13:04:33.025181,2025-06-26 13:05:02.260037,0 days 00:00:29.234856,2.1743801440818253,MVS,0.2266468258653268,10,4.655222315169239,0.0509296326114008,52,Iter,25,0.3064602537174661,0.23283009266510268,COMPLETE
61,61,0.28757777777777777,2025-06-26 13:05:02.260988,2025-06-26 13:05:13.490709,0 days 00:00:11.229721,3.6489425880038198,MVS,0.16066145637426474,9,2.1721256086653975,0.1255134132075788,89,Iter,24,0.3522981770482694,0.16702100732388525,COMPLETE
62,62,0.2852666666666666,2025-06-26 13:05:13.491532,2025-06-26 13:05:36.060999,0 days 00:00:22.569467,2.383254159611888,Bayesian,0.1117509432183915,8,3.340858600307247,0.016370209196981764,70,Iter,21,0.12426002232900307,0.3266743016897196,COMPLETE
63,63,0.2885422222222222,2025-06-26 13:05:36.062333,2025-06-26 13:06:01.866406,0 days 00:00:25.804073,9.183618358956524e-05,MVS,0.34827544305186914,8,1.4876091715942654,0.04498092541473367,78,IncToDec,17,0.07234050523366617,0.15784536606446894,COMPLETE
64,64,0.28533777777777775,2025-06-26 13:06:01.867316,2025-06-26 13:06:15.174724,0 days 00:00:13.307408,0.007050145870253942,MVS,0.4644478133766317,8,1.1783334425993695,0.07684981806906033,92,IncToDec,14,0.10155614201189472,0.1867659631870156,COMPLETE
65,65,0.2869644444444444,2025-06-26 13:06:15.175576,2025-06-26 13:06:43.353829,0 days 00:00:28.178253,1.1189607344556756e-05,MVS,0.24250981873674732,7,2.181156968051143,0.018883015391774893,64,IncToDec,28,0.18824356670380352,0.13831125433052074,COMPLETE
66,66,0.28467555555555557,2025-06-26 13:06:43.354715,2025-06-26 13:06:49.337261,0 days 00:00:05.982546,2.5934856972005155e-05,MVS,0.51551755690661,5,1.0918860277954725,0.10961819858553343,43,Iter,12,0.20727811724345618,0.16021908940191085,COMPLETE
67,67,0.2883422222222222,2025-06-26 13:06:49.338160,2025-06-26 13:07:16.532596,0 days 00:00:27.194436,2.553627793729643e-08,MVS,0.5727063355657078,4,4.9204566614420795,0.03520131772107553,43,Iter,29,0.05074958177052511,0.8770225884972256,COMPLETE
68,68,0.28685333333333335,2025-06-26 13:07:16.533429,2025-06-26 13:07:36.004583,0 days 00:00:19.471154,0.6139422008997278,MVS,0.2971560238501617,6,2.0986580018552847,0.03401954586097859,76,Iter,14,0.033200062568811875,0.26228857565992436,COMPLETE
69,69,0.28430666666666665,2025-06-26 13:07:36.005512,2025-06-26 13:07:45.214150,0 days 00:00:09.208638,0.00011889146753960237,MVS,0.7477416870546882,6,3.4521914726420744,0.29988185686273494,2,IncToDec,36,0.8327053002811236,0.24538524889790725,COMPLETE
70,70,0.2858266666666667,2025-06-26 13:07:45.214986,2025-06-26 13:08:04.764863,0 days 00:00:19.549877,0.08198513131709187,Bayesian,0.07910413891905255,9,2.934273985926984,0.05734463617796946,62,IncToDec,29,0.3764349379925006,0.10087737663448815,COMPLETE
71,71,0.2849511111111111,2025-06-26 13:08:04.765704,2025-06-26 13:08:12.920195,0 days 00:00:08.154491,0.00011444771629718632,MVS,0.35252754877718206,10,2.218698731067549,0.2730108321311569,58,IncToDec,13,0.04905637978804019,0.07005684968530455,COMPLETE
72,72,0.28587999999999997,2025-06-26 13:08:12.921052,2025-06-26 13:08:28.452748,0 days 00:00:15.531696,2.606933175322367e-08,Bernoulli,0.3999944524762829,7,1.6542446654653058,0.06403925785140877,93,IncToDec,12,0.23419076715354384,0.29093107236098914,COMPLETE
73,73,0.2880933333333333,2025-06-26 13:08:28.453568,2025-06-26 13:09:04.163047,0 days 00:00:35.709479,2.727324235620148e-06,Bayesian,0.32883223891304136,6,1.522381816284578,0.012238407363059596,76,IncToDec,13,0.04522720567620788,0.42254189015675603,COMPLETE
74,74,0.2901155555555555,2025-06-26 13:09:04.163885,2025-06-26 13:09:54.030692,0 days 00:00:49.866807,5.233089240178375,MVS,0.4214429324162141,8,2.844166127031995,0.018387660525581693,61,Iter,31,0.05785320613974244,0.06783871147723564,COMPLETE
75,75,0.28718666666666665,2025-06-26 13:09:54.031522,2025-06-26 13:10:45.429075,0 days 00:00:51.397553,3.4272048060114444,MVS,0.44911379646453153,8,3.0801948651833713,0.005964247457194557,72,Iter,30,0.08324446687512543,0.3333191401065893,COMPLETE
76,76,0.2868,2025-06-26 13:10:45.429999,2025-06-26 13:10:52.165627,0 days 00:00:06.735628,3.4152155944767397,MVS,0.3372945526842357,5,2.3044302166706734,0.26415836953813976,85,Iter,36,0.10119959610346776,0.27679930579166967,COMPLETE
77,77,0.28673777777777776,2025-06-26 13:10:52.166455,2025-06-26 13:11:43.664932,0 days 00:00:51.498477,0.11524677931321495,MVS,0.5936087713702695,8,2.8806519868561398,0.013241059041733838,52,Iter,23,0.19152264253503784,0.1195944744756165,COMPLETE
78,78,0.28792888888888885,2025-06-26 13:11:43.665791,2025-06-26 13:12:03.357736,0 days 00:00:19.691945,0.08341632521170403,MVS,0.2126180553108375,8,3.2676490166152705,0.08013991643426768,46,Iter,26,0.1209277843666714,0.690195330019247,COMPLETE
79,79,0.2861466666666666,2025-06-26 13:12:03.358835,2025-06-26 13:12:12.783769,0 days 00:00:09.424934,0.824963619497223,MVS,0.09929668476181984,9,1.9629573057678027,0.13403467442671105,45,Iter,24,0.12486452998975331,0.2175039583546629,COMPLETE
80,80,0.28780444444444436,2025-06-26 13:12:12.784849,2025-06-26 13:12:34.583808,0 days 00:00:21.798959,0.06708105794781098,Bernoulli,0.4125872372223335,8,1.7391210658842493,0.07587236911339539,38,Iter,40,0.06936947077739761,0.2224222430905064,COMPLETE
81,81,0.2853111111111111,2025-06-26 13:12:34.585172,2025-06-26 13:12:53.480552,0 days 00:00:18.895380,0.0031724594495244752,MVS,0.09396058404199392,8,1.7350937393704857,0.015522665279710282,84,IncToDec,12,0.34846092795698214,0.22201816621955411,COMPLETE
82,82,0.28756444444444446,2025-06-26 13:12:53.481627,2025-06-26 13:13:27.306728,0 days 00:00:33.825101,2.682272506088703e-08,MVS,0.5799071781924273,6,4.558625083059886,0.022444002385003336,48,Iter,11,0.20944318189057992,0.7153353945199599,COMPLETE
83,83,0.2863644444444444,2025-06-26 13:13:27.307526,2025-06-26 13:13:42.689567,0 days 00:00:15.382041,0.0009622154645571654,Bernoulli,0.2982287379191129,9,2.7758763989016058,0.11340502783376342,78,Iter,25,0.10224450498705218,0.43139879991177,COMPLETE
84,84,0.2873022222222222,2025-06-26 13:13:42.690370,2025-06-26 13:14:04.788315,0 days 00:00:22.097945,0.00046710447290083295,Bayesian,0.6853139469688978,3,4.372190983994345,0.12078831180955388,37,IncToDec,27,0.37685481323399195,0.6168099997005101,COMPLETE
85,85,0.28987111111111113,2025-06-26 13:14:04.789293,2025-06-26 13:14:49.414996,0 days 00:00:44.625703,0.0021364471055914176,MVS,0.531020118990097,8,2.096338487635091,0.03243269300119212,87,Iter,38,0.17336461797753341,0.06603249320328008,COMPLETE
